Local time,Open,High,Low,Close,Volume
10.06.2004 05:00:00.000 GMT+0800,110.403,110.517,109.155,109.308,632275492187.5
11.06.2004 05:00:00.000 GMT+0800,109.278,110.479,109.145,110.049,640267201171.875
12.06.2004 05:00:00.000 GMT+0800,110.049,110.049,110.049,110.049,0
13.06.2004 05:00:00.000 GMT+0800,110.049,110.049,110.049,110.049,0
14.06.2004 05:00:00.000 GMT+0800,110.152,111.470,110.037,111.006,632903593750
15.06.2004 05:00:00.000 GMT+0800,110.992,111.387,109.279,109.480,634128310546.875
16.06.2004 05:00:00.000 GMT+0800,109.490,110.237,109.205,110.046,641791693359.375
17.06.2004 05:00:00.000 GMT+0800,110.048,110.212,108.888,109.601,627634697265.625
18.06.2004 05:00:00.000 GMT+0800,109.600,109.738,108.522,108.860,634980398437.5
19.06.2004 05:00:00.000 GMT+0800,108.860,108.860,108.860,108.860,0
20.06.2004 05:00:00.000 GMT+0800,108.860,108.860,108.860,108.860,0
21.06.2004 05:00:00.000 GMT+0800,108.765,108.953,108.213,108.891,634352103515.625
22.06.2004 05:00:00.000 GMT+0800,108.918,109.413,108.353,109.260,628917500976.5625
23.06.2004 05:00:00.000 GMT+0800,109.266,109.291,108.430,108.482,632733807617.1875
24.06.2004 05:00:00.000 GMT+0800,108.492,108.601,106.994,107.118,635375210937.5
25.06.2004 05:00:00.000 GMT+0800,107.122,108.007,107.006,107.546,631419696289.0625
26.06.2004 05:00:00.000 GMT+0800,107.546,107.546,107.546,107.546,0
27.06.2004 05:00:00.000 GMT+0800,107.546,107.546,107.546,107.546,0
28.06.2004 05:00:00.000 GMT+0800,107.548,108.316,107.387,107.890,626734602539.0625
29.06.2004 05:00:00.000 GMT+0800,107.882,108.748,107.746,108.173,631791108398.4375
30.06.2004 05:00:00.000 GMT+0800,108.190,109.593,108.166,108.714,630750502929.6875
01.07.2004 05:00:00.000 GMT+0800,108.738,108.890,107.807,108.352,634585500000
02.07.2004 05:00:00.000 GMT+0800,108.386,109.317,108.027,108.275,629340101562.5
03.07.2004 05:00:00.000 GMT+0800,108.275,108.275,108.275,108.275,0
04.07.2004 05:00:00.000 GMT+0800,108.275,108.275,108.275,108.275,0
05.07.2004 05:00:00.000 GMT+0800,108.298,109.168,108.208,109.034,627864200195.3125
06.07.2004 05:00:00.000 GMT+0800,109.066,109.707,108.857,109.460,629918698242.1875
07.07.2004 05:00:00.000 GMT+0800,109.460,109.543,108.184,108.613,632282994140.625
08.07.2004 05:00:00.000 GMT+0800,108.632,109.155,108.362,108.953,631455409179.6875
09.07.2004 05:00:00.000 GMT+0800,108.977,108.994,107.927,108.154,631932195312.5
10.07.2004 05:00:00.000 GMT+0800,108.154,108.154,108.154,108.154,0
11.07.2004 05:00:00.000 GMT+0800,108.154,108.154,108.154,108.154,0
12.07.2004 05:00:00.000 GMT+0800,108.142,108.415,107.544,108.232,630837297851.5625
13.07.2004 05:00:00.000 GMT+0800,108.230,109.390,108.170,108.623,632420404296.875
14.07.2004 05:00:00.000 GMT+0800,108.647,109.460,108.372,109.130,630964793945.3125
15.07.2004 05:00:00.000 GMT+0800,109.132,109.997,108.990,109.767,627671802734.375
16.07.2004 05:00:00.000 GMT+0800,109.783,110.031,108.550,108.654,626750504882.8125
17.07.2004 05:00:00.000 GMT+0800,108.654,108.654,108.654,108.654,0
18.07.2004 05:00:00.000 GMT+0800,108.654,108.654,108.654,108.654,0
19.07.2004 05:00:00.000 GMT+0800,108.767,108.857,108.071,108.215,627029498046.875
20.07.2004 05:00:00.000 GMT+0800,108.210,108.812,108.067,108.647,628031600585.9375
21.07.2004 05:00:00.000 GMT+0800,108.670,110.289,108.340,109.775,630816798828.125
22.07.2004 05:00:00.000 GMT+0800,109.753,109.960,109.242,109.768,632836591796.875
23.07.2004 05:00:00.000 GMT+0800,109.743,110.254,109.596,110.162,629167996093.75
24.07.2004 05:00:00.000 GMT+0800,110.162,110.162,110.162,110.162,0
25.07.2004 05:00:00.000 GMT+0800,110.162,110.162,110.162,110.162,0
26.07.2004 05:00:00.000 GMT+0800,110.115,110.208,109.399,109.943,628176799804.6875
27.07.2004 05:00:00.000 GMT+0800,109.928,111.208,109.587,110.900,629084800781.25
28.07.2004 05:00:00.000 GMT+0800,110.889,111.884,110.787,111.623,633126898437.5
29.07.2004 05:00:00.000 GMT+0800,111.608,112.472,111.473,111.936,634612694335.9375
30.07.2004 05:00:00.000 GMT+0800,111.983,112.225,111.073,111.331,628997704101.5625
31.07.2004 05:00:00.000 GMT+0800,111.331,111.331,111.331,111.331,0
01.08.2004 05:00:00.000 GMT+0800,111.331,111.345,111.331,111.345,0
02.08.2004 05:00:00.000 GMT+0800,111.248,111.393,110.562,110.695,631596894531.25
03.08.2004 05:00:00.000 GMT+0800,110.712,111.147,110.398,110.531,633451190429.6875
04.08.2004 05:00:00.000 GMT+0800,110.529,111.726,110.509,111.090,632160003906.25
05.08.2004 05:00:00.000 GMT+0800,111.106,111.809,110.799,111.782,623570498046.875
06.08.2004 05:00:00.000 GMT+0800,111.798,111.888,109.810,110.457,633825505859.375
07.08.2004 05:00:00.000 GMT+0800,110.457,110.457,110.457,110.457,0
08.08.2004 05:00:00.000 GMT+0800,110.457,110.457,110.457,110.457,0
09.08.2004 05:00:00.000 GMT+0800,110.400,110.915,110.124,110.579,636782909179.6875
10.08.2004 05:00:00.000 GMT+0800,110.590,111.475,110.395,111.263,624787298828.125
11.08.2004 05:00:00.000 GMT+0800,111.285,111.452,110.622,110.900,628500602539.0625
12.08.2004 05:00:00.000 GMT+0800,110.880,111.228,110.445,110.863,632243896484.375
13.08.2004 05:00:00.000 GMT+0800,110.870,112.090,110.462,110.690,624834805664.0625
14.08.2004 05:00:00.000 GMT+0800,110.690,110.690,110.690,110.690,0
15.08.2004 05:00:00.000 GMT+0800,110.690,110.690,110.690,110.690,0
16.08.2004 05:00:00.000 GMT+0800,110.598,110.985,110.332,110.453,622676507812.5
17.08.2004 05:00:00.000 GMT+0800,110.453,110.593,109.885,110.042,641432591796.875
18.08.2004 05:00:00.000 GMT+0800,110.029,110.153,109.266,109.317,634780295898.4375
