Local time,Open,High,Low,Close,Volume
28.05.2004 05:00:00.000 GMT+0800,1.22554,1.22956,1.22002,1.22118,1355819017578.125
29.05.2004 05:00:00.000 GMT+0800,1.22118,1.22118,1.22118,1.22118,0
30.05.2004 05:00:00.000 GMT+0800,1.22118,1.22118,1.22118,1.22118,0
31.05.2004 05:00:00.000 GMT+0800,1.22304,1.22529,1.21759,1.21854,1131630796875
01.06.2004 05:00:00.000 GMT+0800,1.21824,1.22657,1.21543,1.22447,1383596011718.75
02.06.2004 05:00:00.000 GMT+0800,1.22410,1.23030,1.22032,1.22085,1379091302734.375
03.06.2004 05:00:00.000 GMT+0800,1.22071,1.22496,1.21680,1.22242,1364395224609.375
04.06.2004 05:00:00.000 GMT+0800,1.22245,1.22997,1.21395,1.22817,1361491193359.375
05.06.2004 05:00:00.000 GMT+0800,1.22817,1.22817,1.22817,1.22817,0
06.06.2004 05:00:00.000 GMT+0800,1.22817,1.22817,1.22817,1.22817,0
07.06.2004 05:00:00.000 GMT+0800,1.22867,1.23373,1.22742,1.23170,1364601195312.5
08.06.2004 05:00:00.000 GMT+0800,1.23134,1.23500,1.22434,1.22620,1359548382812.5
09.06.2004 05:00:00.000 GMT+0800,1.22614,1.22738,1.20335,1.20439,1363845488281.25
10.06.2004 05:00:00.000 GMT+0800,1.20418,1.21179,1.20225,1.21035,1348948285156.25
11.06.2004 05:00:00.000 GMT+0800,1.21020,1.21145,1.19624,1.20038,1369795996093.75
12.06.2004 05:00:00.000 GMT+0800,1.20038,1.20038,1.20038,1.20038,0
13.06.2004 05:00:00.000 GMT+0800,1.20038,1.20038,1.20038,1.20038,0
14.06.2004 05:00:00.000 GMT+0800,1.19960,1.20872,1.19512,1.20531,1357036421875
15.06.2004 05:00:00.000 GMT+0800,1.20510,1.21694,1.20254,1.21584,1372933185546.875
16.06.2004 05:00:00.000 GMT+0800,1.21578,1.21677,1.19787,1.20085,1361231792968.75
17.06.2004 05:00:00.000 GMT+0800,1.20060,1.20769,1.19901,1.20508,1364645294921.875
18.06.2004 05:00:00.000 GMT+0800,1.20493,1.21467,1.19725,1.21343,1366505816406.25
19.06.2004 05:00:00.000 GMT+0800,1.21343,1.21343,1.21343,1.21343,0
20.06.2004 05:00:00.000 GMT+0800,1.21343,1.21343,1.21343,1.21343,0
21.06.2004 05:00:00.000 GMT+0800,1.21308,1.21450,1.20749,1.21132,1347742994140.625
22.06.2004 05:00:00.000 GMT+0800,1.21073,1.21306,1.20652,1.21067,1361793316406.25
23.06.2004 05:00:00.000 GMT+0800,1.21052,1.21911,1.20624,1.20900,1373304498046.875
24.06.2004 05:00:00.000 GMT+0800,1.20867,1.21874,1.20380,1.21668,1351438306640.625
25.06.2004 05:00:00.000 GMT+0800,1.21640,1.21889,1.21062,1.21720,1351956408203.125
26.06.2004 05:00:00.000 GMT+0800,1.21720,1.21720,1.21720,1.21720,0
27.06.2004 05:00:00.000 GMT+0800,1.21720,1.21720,1.21720,1.21720,0
28.06.2004 05:00:00.000 GMT+0800,1.21730,1.22268,1.21209,1.21845,1364704908203.125
29.06.2004 05:00:00.000 GMT+0800,1.21795,1.21919,1.20646,1.20800,1346761587890.625
30.06.2004 05:00:00.000 GMT+0800,1.20775,1.22035,1.20630,1.21928,1353292509765.625
01.07.2004 05:00:00.000 GMT+0800,1.21938,1.22078,1.21319,1.21565,1347963712890.625
02.07.2004 05:00:00.000 GMT+0800,1.21507,1.23271,1.21416,1.23105,1364006408203.125
03.07.2004 05:00:00.000 GMT+0800,1.23105,1.23105,1.23105,1.23105,0
04.07.2004 05:00:00.000 GMT+0800,1.23105,1.23105,1.23105,1.23105,0
05.07.2004 05:00:00.000 GMT+0800,1.23205,1.23350,1.22654,1.22879,1352011507812.5
06.07.2004 05:00:00.000 GMT+0800,1.22832,1.23290,1.22638,1.22793,1350680392578.125
07.07.2004 05:00:00.000 GMT+0800,1.22757,1.23879,1.22715,1.23693,1344091113281.25
08.07.2004 05:00:00.000 GMT+0800,1.23659,1.24042,1.23386,1.23806,1346404298828.125
09.07.2004 05:00:00.000 GMT+0800,1.23782,1.24220,1.23677,1.24104,1346880308593.75
10.07.2004 05:00:00.000 GMT+0800,1.24104,1.24104,1.24104,1.24104,0
11.07.2004 05:00:00.000 GMT+0800,1.24104,1.24104,1.24104,1.24104,0
12.07.2004 05:00:00.000 GMT+0800,1.24060,1.24350,1.23795,1.24053,1354229191406.25
13.07.2004 05:00:00.000 GMT+0800,1.24039,1.24143,1.22979,1.23244,1366027203125
14.07.2004 05:00:00.000 GMT+0800,1.23193,1.24201,1.23173,1.23778,1363310187500
15.07.2004 05:00:00.000 GMT+0800,1.23760,1.23879,1.23255,1.23512,1358821189453.125
16.07.2004 05:00:00.000 GMT+0800,1.23505,1.24579,1.23269,1.24518,1335458398437.5
17.07.2004 05:00:00.000 GMT+0800,1.24518,1.24518,1.24518,1.24518,0
18.07.2004 05:00:00.000 GMT+0800,1.24518,1.24518,1.24518,1.24518,0
19.07.2004 05:00:00.000 GMT+0800,1.24412,1.24609,1.23975,1.24412,1355053103515.625
20.07.2004 05:00:00.000 GMT+0800,1.24353,1.24536,1.22981,1.23300,1345309205078.125
21.07.2004 05:00:00.000 GMT+0800,1.23224,1.23480,1.22089,1.22584,1377695707031.25
22.07.2004 05:00:00.000 GMT+0800,1.22507,1.22911,1.22279,1.22537,1362848802734.375
23.07.2004 05:00:00.000 GMT+0800,1.22483,1.22673,1.20859,1.20897,1355267593750
24.07.2004 05:00:00.000 GMT+0800,1.20897,1.20897,1.20897,1.20897,0
25.07.2004 05:00:00.000 GMT+0800,1.20897,1.20897,1.20897,1.20897,0
26.07.2004 05:00:00.000 GMT+0800,1.20932,1.21699,1.20853,1.21402,1341202699218.75
27.07.2004 05:00:00.000 GMT+0800,1.21363,1.21890,1.20338,1.20560,1351738410156.25
28.07.2004 05:00:00.000 GMT+0800,1.20513,1.20780,1.19972,1.20517,1356063195312.5
29.07.2004 05:00:00.000 GMT+0800,1.20508,1.20932,1.19912,1.20434,1349028498046.875
30.07.2004 05:00:00.000 GMT+0800,1.20373,1.21183,1.19997,1.20165,1348584408203.125
31.07.2004 05:00:00.000 GMT+0800,1.20165,1.20165,1.20165,1.20165,0
01.08.2004 05:00:00.000 GMT+0800,1.20165,1.20165,1.20135,1.20135,0
02.08.2004 05:00:00.000 GMT+0800,1.20169,1.20928,1.20167,1.20217,1365331595703.125
03.08.2004 05:00:00.000 GMT+0800,1.20188,1.20751,1.19941,1.20593,1365961195312.5
04.08.2004 05:00:00.000 GMT+0800,1.20526,1.20659,1.19695,1.20502,1357159005859.375
05.08.2004 05:00:00.000 GMT+0800,1.20470,1.20727,1.20189,1.20510,1346207914062.5
06.08.2004 05:00:00.000 GMT+0800,1.20520,1.22900,1.20431,1.22784,1358167101562.5
07.08.2004 05:00:00.000 GMT+0800,1.22784,1.22784,1.22784,1.22784,0
08.08.2004 05:00:00.000 GMT+0800,1.22784,1.22784,1.22784,1.22784,0
09.08.2004 05:00:00.000 GMT+0800,1.22805,1.22885,1.22444,1.22675,1346744291015.625
10.08.2004 05:00:00.000 GMT+0800,1.22652,1.23179,1.22237,1.22338,1353691974609.375
11.08.2004 05:00:00.000 GMT+0800,1.22305,1.22497,1.21937,1.22153,1346428998046.875
12.08.2004 05:00:00.000 GMT+0800,1.22102,1.22948,1.22102,1.22489,1351879001953.125
13.08.2004 05:00:00.000 GMT+0800,1.22478,1.23754,1.21750,1.23704,1358878509765.625
14.08.2004 05:00:00.000 GMT+0800,1.23704,1.23704,1.23704,1.23704,0
15.08.2004 05:00:00.000 GMT+0800,1.23704,1.23704,1.23704,1.23704,0
16.08.2004 05:00:00.000 GMT+0800,1.23668,1.23826,1.23158,1.23591,1348296908203.125
17.08.2004 05:00:00.000 GMT+0800,1.23564,1.23845,1.23096,1.23538,1355260423828.125
18.08.2004 05:00:00.000 GMT+0800,1.23520,1.23642,1.22847,1.23332,1358125982421.875
19.08.2004 05:00:00.000 GMT+0800,1.23281,1.23781,1.23247,1.23614,1356101701171.875
20.08.2004 05:00:00.000 GMT+0800,1.23592,1.23804,1.22791,1.23153,1357532923828.125
21.08.2004 05:00:00.000 GMT+0800,1.23153,1.23153,1.23153,1.23153,0
22.08.2004 05:00:00.000 GMT+0800,1.23153,1.23153,1.23153,1.23153,0
23.08.2004 05:00:00.000 GMT+0800,1.23088,1.23231,1.21306,1.21399,1348900484375
24.08.2004 05:00:00.000 GMT+0800,1.21380,1.21656,1.20583,1.20766,1343168302734.375
25.08.2004 05:00:00.000 GMT+0800,1.20742,1.21156,1.20504,1.20789,1354354796875
26.08.2004 05:00:00.000 GMT+0800,1.20767,1.21157,1.20450,1.20994,1346428308593.75
27.08.2004 05:00:00.000 GMT+0800,1.20953,1.21343,1.20009,1.20074,1357158396484.375
28.08.2004 05:00:00.000 GMT+0800,1.20074,1.20074,1.20074,1.20074,0
29.08.2004 05:00:00.000 GMT+0800,1.20074,1.20074,1.20074,1.20074,0
30.08.2004 05:00:00.000 GMT+0800,1.20061,1.20670,1.19849,1.20445,1357954988281.25
31.08.2004 05:00:00.000 GMT+0800,1.20420,1.21934,1.20383,1.21804,1352433892578.125
01.09.2004 05:00:00.000 GMT+0800,1.21785,1.22198,1.21461,1.21848,1351576011718.75
02.09.2004 05:00:00.000 GMT+0800,1.21822,1.21999,1.21392,1.21712,1339282183593.75
03.09.2004 05:00:00.000 GMT+0800,1.21702,1.21917,1.20399,1.20558,1336161304687.5
04.09.2004 05:00:00.000 GMT+0800,1.20558,1.20558,1.20558,1.20558,0
05.09.2004 05:00:00.000 GMT+0800,1.20558,1.20558,1.20558,1.20558,0
06.09.2004 05:00:00.000 GMT+0800,1.20558,1.20783,1.20449,1.20608,1345201500000
07.09.2004 05:00:00.000 GMT+0800,1.20588,1.21109,1.20508,1.21040,1339956181640.625
08.09.2004 05:00:00.000 GMT+0800,1.21062,1.21914,1.20242,1.21805,1339799607421.875
09.09.2004 05:00:00.000 GMT+0800,1.21739,1.22113,1.21575,1.22103,1339291308593.75
10.09.2004 05:00:00.000 GMT+0800,1.22067,1.23069,1.21974,1.22572,1339641115234.375
11.09.2004 05:00:00.000 GMT+0800,1.22572,1.22572,1.22572,1.22572,0
12.09.2004 05:00:00.000 GMT+0800,1.22572,1.22572,1.22572,1.22572,0
13.09.2004 05:00:00.000 GMT+0800,1.22570,1.22865,1.22215,1.22565,1341951310546.875
14.09.2004 05:00:00.000 GMT+0800,1.22568,1.22938,1.22236,1.22492,1348349609375
15.09.2004 05:00:00.000 GMT+0800,1.22458,1.22593,1.21323,1.21472,1346556115234.375
16.09.2004 05:00:00.000 GMT+0800,1.21460,1.21971,1.21192,1.21787,1348253496093.75
17.09.2004 05:00:00.000 GMT+0800,1.21752,1.22215,1.21555,1.21846,1342198308593.75
18.09.2004 05:00:00.000 GMT+0800,1.21846,1.21846,1.21846,1.21846,0
19.09.2004 05:00:00.000 GMT+0800,1.21846,1.21846,1.21846,1.21846,0
20.09.2004 05:00:00.000 GMT+0800,1.21749,1.21840,1.21212,1.21747,1341010582031.25
21.09.2004 05:00:00.000 GMT+0800,1.21708,1.23459,1.21639,1.23325,1344799291015.625
22.09.2004 05:00:00.000 GMT+0800,1.23318,1.23357,1.22277,1.22637,1350706414062.5
23.09.2004 05:00:00.000 GMT+0800,1.22637,1.23320,1.22514,1.22683,1345579707031.25
24.09.2004 05:00:00.000 GMT+0800,1.22643,1.23595,1.22363,1.22723,1337596904296.875
25.09.2004 05:00:00.000 GMT+0800,1.22723,1.22723,1.22723,1.22723,0
26.09.2004 05:00:00.000 GMT+0800,1.22723,1.22723,1.22723,1.22723,0
27.09.2004 05:00:00.000 GMT+0800,1.22742,1.23140,1.22449,1.22895,1358476703125
28.09.2004 05:00:00.000 GMT+0800,1.22890,1.23462,1.22766,1.23240,1353124505859.375
29.09.2004 05:00:00.000 GMT+0800,1.23188,1.23381,1.22874,1.23274,1338864996093.75
30.09.2004 05:00:00.000 GMT+0800,1.23285,1.24427,1.23126,1.24320,1359791687500
01.10.2004 05:00:00.000 GMT+0800,1.24330,1.24374,1.23822,1.24135,1341735388671.875
02.10.2004 05:00:00.000 GMT+0800,1.24135,1.24135,1.24135,1.24135,0
03.10.2004 05:00:00.000 GMT+0800,1.24135,1.24135,1.24135,1.24135,0
04.10.2004 05:00:00.000 GMT+0800,1.23879,1.23992,1.22561,1.22841,1351304394531.25
05.10.2004 05:00:00.000 GMT+0800,1.22847,1.23281,1.22607,1.23078,1349988283203.125
06.10.2004 05:00:00.000 GMT+0800,1.23051,1.23219,1.22455,1.22835,1343175281250
07.10.2004 05:00:00.000 GMT+0800,1.22785,1.23125,1.22698,1.22834,1349686701171.875
08.10.2004 05:00:00.000 GMT+0800,1.22797,1.24317,1.22771,1.24062,1343339205078.125
09.10.2004 05:00:00.000 GMT+0800,1.24062,1.24062,1.24062,1.24062,0
10.10.2004 05:00:00.000 GMT+0800,1.24062,1.24062,1.24062,1.24062,0
11.10.2004 05:00:00.000 GMT+0800,1.24112,1.24209,1.23671,1.23835,1349410611328.125
12.10.2004 05:00:00.000 GMT+0800,1.23803,1.23897,1.22860,1.23224,1344799802734.375
13.10.2004 05:00:00.000 GMT+0800,1.23203,1.23549,1.22257,1.23460,1344470003906.25
14.10.2004 05:00:00.000 GMT+0800,1.23437,1.24178,1.23196,1.23820,1342954894531.25
